4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,128,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,60,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,128,AMD
4,8,3.2,4,128,256,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,256,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,128,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,256,AMD
4,8,3.2,4,128,250,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,128,AMD
4,8,3.2,2,128,240,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,60,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,240,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,128,AMD
4,8,3.2,2,128,256,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,240,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,256,AMD
4,8,3.2,2,128,240,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,128,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,256,AMD
4,8,3.2,2,128,250,AMD
4,8,3.2,2,128,240,AMD
4,8,3.2,2,128,120,AMD
4,8,3.2,2,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,128,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,60,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,128,AMD
4,8,3.2,4,128,256,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,256,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,128,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,256,AMD
4,8,3.2,4,128,250,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,4,128,120,AMD
4,8,3.2,4,128,240,AMD
4,8,3.2,3,192,120,AMD
